Magnetic Field.X,Magnetic Field.Y,Magnetic Field.Z,,Magnetometer X,Magnetometer Y,Magnetometer Z,,,,
2.08E+04,2.26E+04,-3526,,2.09E-05,2.26E-05,-3.52E-06,,0.00E+00,-1.80E+01,0.00E+00
2.51E+04,5162,1.75E+04,,2.51E-05,5.18E-06,1.75E-05,,0.00E+00,0.00E+00,0.00E+00
1.45E+04,-2.13E+04,1.75E+04,,1.45E-05,-2.13E-05,1.75E-05,,3.00E+00,0.00E+00,-1.10E+01
-3727,-3.09E+04,-2761,,-3.73E-06,-3.09E-05,-2.75E-06,,1.00E+02,0.00E+00,0.00E+00
-2.29E+04,-1.74E+04,-1.26E+04,,-2.30E-05,-1.74E-05,-1.26E-05,,0.00E+00,-4.20E+00,2.10E+01
-3.15E+04,-445.2,1811,,-3.15E-05,-4.41E-07,1.79E-06,,0.00E+00,1.00E+00,1.00E+02
-1.99E+04,7071,2.36E+04,,-1.99E-05,7.07E-06,2.35E-05,,4.00E+00,-3.00E+00,0.00E+00
5974,7067,3.04E+04,,5.97E-06,7.07E-06,3.04E-05,,-1.00E+02,-2.00E+00,0.00E+00
2.78E+04,2918,1.53E+04,,2.79E-05,2.92E-06,1.53E-05,,0.00E+00,-1.80E+01,-4.00E+00
2.99E+04,-7038,-8974,,2.99E-05,-7.02E-06,-8.97E-06,,0.00E+00,0.00E+00,0.00E+00
1.23E+04,-2.24E+04,-1.95E+04,,1.23E-05,-2.24E-05,-1.95E-05,,0.00E+00,0.00E+00,4.00E+01
-1.05E+04,-3.01E+04,-5050,,-1.05E-05,-3.01E-05,-5.09E-06,,0.00E+00,0.00E+00,0.00E+00
-2.53E+04,-1.40E+04,1.46E+04,,-2.53E-05,-1.40E-05,1.46E-05,,0.00E+00,0.00E+00,2.50E+01
-2.79E+04,1.37E+04,9585,,-2.79E-05,1.37E-05,9.56E-06,,,,
-1.53E+04,2.52E+04,-1.41E+04,,-1.53E-05,2.52E-05,-1.42E-05,,,,
9441,1.76E+04,-2.60E+04,,9.44E-06,1.76E-05,-2.61E-05,,,,
3.00E+04,5031,-1.27E+04,,3.00E-05,5.02E-06,-1.28E-05,,,,
2.99E+04,-4907,1.34E+04,,2.99E-05,-4.91E-06,1.34E-05,,,,
8117,-1.29E+04,2.96E+04,,8.13E-06,-1.29E-05,2.96E-05,,,,
-1.91E+04,-1.70E+04,2.15E+04,,-1.91E-05,-1.70E-05,2.15E-05,,,,
-3.23E+04,-8527,-2955,,-3.23E-05,-8.52E-06,-2.95E-06,,,,
-2.53E+04,1.52E+04,-1.63E+04,,-2.53E-05,1.52E-05,-1.63E-05,,,,
-6010,3.32E+04,-1813,,-6.04E-06,3.32E-05,-1.82E-06,,,,
1.65E+04,2.42E+04,1.72E+04,,1.65E-05,2.42E-05,1.72E-05,,,,
3.23E+04,1595,1.09E+04,,3.23E-05,1.58E-06,1.09E-05,,,,
2.88E+04,-1.20E+04,-1.43E+04,,2.88E-05,-1.21E-05,-1.42E-05,,,,
4837,-1.32E+04,-3.14E+04,,4.85E-06,-1.32E-05,-3.14E-05,,,,
